Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Ghorepani-Poonhill-Ghandruk Trek ,, 55000 ,, 7days ,, 4.8  ,, Private and Group Tour   ,, Moderate ,, Nepal Eco Adventure Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poonhill-ghandruk-trek-tour-2-84134_1518840774.JPG ,, 
Annapurna View Trek ,, 48950 ,, 6days ,, 5.0  ,, Private Tour   ,, Easy ,, Mount Adventure Holidays ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-view-trek-tour-2-459564_1548584568.JPG ,, 
12 Days Gokyo Valley Trekking ,, 120890 ,, 12 days ,, 4.8  ,, Group Tour - Max 12 participants   ,, Moderate ,, Trekking Planner (P.) Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/12-days-gokyo-valley-trekking-tour-2-18412_1534735728.JPG ,, 
Mardi Himal Trek ,, 48950 ,, 10days ,, 4.7  ,, Private Tour   ,, Moderate ,, Himalayan Leisure Inc. ,, Mardi Himal Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mardi-himal-trek-tour-2-17529_1515396454.JPG ,, 
Manaslu Circuit Trek ,, 148500 ,, 19days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Nepal Guide Treks & Expedition ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trek-tour-2-328259_1547109920.JPG ,, 
Poonhill Tea House Trek 7-Days ,, 49500 ,, 7days ,, 4.8  ,, Private Tour   ,, Easy ,, Nepal Lion Tours and Treks Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/poonhill-tea-house-trek-7-days-tour-2-37175_1534692901.JPG ,, 
Ghorepani Poon Hill Trek ,, 46200 ,, 5days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poon-hill-trek-tour-2-22144_1542021962.JPG ,, 
Langtang Trek With Chopper Return ,, 185900 ,, 5days ,, 5.0  ,, Private Tour   ,, Moderate ,, Unique Adventure International Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-trek-with-chopper-return-tour-2-427240_1544543895.JPG ,, 
Everest Base Camp With Gokyo Valley Trek ,, 159500 ,, 21days ,, 5.0  ,, Private Tour   ,, Hard ,, Buddha Treks and Expedition ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-with-gokyo-valley-trek-tour-2-266659_1544421724.JPG ,, 
Everest Panorama Trek ,, 86900 ,, 7days ,, 4.8  ,, Private Tour   ,, Moderate ,, Himalayan Leisure Inc. ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-panorama-trek-tour-2-116966_1545475732.JPG ,, 
