Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Green Park Chitwan Adventure 3 Days ,, 24640 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Master Himalaya Treks and Expedition Pvt Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Wildlife ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/green-park-chitwan-adventure-3-days-tour-2-340335_1517904616.JPG ,, 
Ganesh Himal Trekking Tour ,, 131450 ,, 14days ,, nan ,, Group Tour   ,, Moderate ,, Outshine Adventure Pvt Ltd ,, Ganesh Himal ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ganesh-himal-trekking-tour-tour-2-12834_0.JPG ,, 
Annapurna Base Camp Tour ,, 105600 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Mosaic Adventure ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-tour-tour-2-12008_1510029029.JPG ,, 
Everest Three High Passes Trek ,, 152900 ,, 17days ,, nan ,, Private Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-three-high-passes-trek-tour-2-265203_1495546872.JPG ,, 
Poon Hill Trek ,, 27500 ,, 4days ,, 5.0  ,, Private Tour   ,, Medium ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/poon-hill-trek-tour-2-323602_1544434866.JPG ,, 
Annapurna Sanctuary ,, 102080 ,, 15days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-sanctuary-tour-2-26106_0.JPG ,, 
Everest Base Camp - 3 Passes Trek ,, 141350 ,, 17days ,, 5.0  ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-3-passes-trek-tour-2-173566_1510029029.JPG ,, 
Gokyo Lake Trek ,, 98450 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Exciting Nepal Treks and Expedition ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-lake-trek-tour-2-11980_0.JPG ,, 
Kanchanjunga Trekking ,, 236500 ,, 21days ,, nan ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kanchanjunga-trekking-tour-2-11961_1543292653.JPG ,, 
Mohare Danda Trek ,, 63250 ,, 11days ,, 5.0  ,, Private Tour   ,, Easy ,, Glorious Himalaya Trekking Pvt Ltd. ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mohare-danda-trek-tour-2-266986_1510029029.JPG ,, 
Himalaya & Everest View Trek 3D/2N ,, 26070 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/himalaya-and-everest-view-trek-3d-2n-tour-2-379187_1521157058.JPG ,, 
Upper Mustang Trek ,, 136400 ,, 15days ,, 5.0  ,, Private Tour   ,, Medium ,, Himalayan Trekking and Tours (P) Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trek-tour-2-265537_1543049675.JPG ,, 
Kolkata To Kathmandu Overland ,, 143550 ,, 16days ,, 4.0  ,, Group Tour - Max 22 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kolkata-to-kathmandu-overland-tour-2-354309_0.JPG ,, 
Lobuche East Peak Climb With Everest Base Camp Trek ,, 218900 ,, 16days ,, nan ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Lobuche East Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/lobuche-east-peak-climb-with-everest-base-camp-trek-tour-2-258071_1510029029.JPG ,, 
Mera Peak 6470m ,, 198000 ,, 14days ,, nan ,, Private Tour   ,, nan ,, Mount Adventure Holidays ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-peak-6470m-tour-2-459557_1548583089.JPG ,, 
Lumba-Sumba Trek ,, 270050 ,, 20days ,, nan ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Lumba Sumba Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/lumba-sumba-trek-tour-2-271016_1531040824.JPG ,, 
Upper Dolpo ,, 330000 ,, 21days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-dolpo-tour-2-335_1510029029.JPG ,, 
Manaslu Trek ,, 178750 ,, 20days ,, 5.0  ,, Private Tour   ,, Medium ,, Outshine Adventure Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-trek-tour-2-661_1510029029.JPG ,, 
Kanchenjunga Base Camp Trek ,, 269500 ,, 26days ,, nan ,, Private Tour   ,, Hard ,, Glorious Himalaya Trekking Pvt Ltd. ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kanchenjunga-base-camp-trek-tour-2-304776_1510029029.JPG ,, 
Chitwan Jungle Safari - 2 Nights And 3 Days ,, 32450 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Friends Adventure Team Pvt. Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chitwan-jungle-safari-2-nights-and-3-days-tour-2-6968_1510029029.JPG ,, 
Manaslu Trek ,, 109890 ,, 15days ,, nan ,, Private and Group Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-trek-tour-2-409847_1545375923.JPG ,, 
Langtang Gosainkunda Trek ,, 58850 ,, 12days ,, nan ,, Private Tour   ,, Hard ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-gosainkunda-trek-tour-2-325437_1510530214.JPG ,, 
Dhampus Peak Climb ,, 229900 ,, 11days ,, nan ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Dhampus Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/dhampus-peak-climb-tour-2-417_1510029029.JPG ,, 
Annapurna Circuit Trek 13 Days ,, 96250 ,, 13days ,, nan ,, Private Tour   ,, Hard ,, Nepal Lion Tours and Treks Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-13-days-tour-2-267915_1536304251.JPG ,, 
Annapurna Base Camp Trek ,, 219340 ,, 16days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-428595_1528285884.JPG ,, 
Mustang And High Passes Trek ,, 317900 ,, 27days ,, nan ,, Private Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mustang-and-high-passes-trek-tour-2-258249_1510029029.JPG ,, 
Highlights Of Nepal - 9 Days ,, 133320 ,, 9days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, On The Go Tours ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/highlights-of-nepal-9-days-tour-2-424949_1527865597.JPG ,, 
Essential Nepal ,, 84920 ,, 9days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Travel Talk ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/essential-nepal-tour-2-358979_1519985209.JPG ,, 
Annapurna Base Camp Trek And Tent Peak Climbing - 14 Days ,, 185900 ,, 14days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Tent Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-and-tent-peak-climbing-14-days-tour-2-48142_1510029029.JPG ,, 
Everest 3 Passes Trek ,, 121000 ,, 16 days ,, nan ,, Private Tour   ,, Hard ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-3-passes-trek-tour-2-323628_1528269292.JPG ,, 
Tamang Heritage Trek ,, 55000 ,, 7days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Nepal Eco Adventure Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/tamang-heritage-trek-tour-2-28343_1510029029.JPG ,, 
Upper Dolpo Trek - Private Tour ,, 503360 ,, 22days ,, nan ,, Private Tour   ,, Hard ,, Adventure Bound Treks and Tours ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-dolpo-trek-private-tour-tour-2-263597_0.JPG ,, 
Manaslu Circuit Trek ,, 100100 ,, 17days ,, 5.0  ,, Private Tour   ,, Hard ,, Himalayan Trekking and Tours (P) Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trek-tour-2-265540_1510029029.JPG ,, 
Himalayan Ways (from Kathmandu) ,, 20790 ,, 6days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/himalayan-ways-from-kathmandu-tour-2-379206_1521157262.JPG ,, 
Upper Dolpo Trekking ,, 495000 ,, 25days ,, nan ,, Private Tour   ,, Hard ,, Glorious Himalaya Trekking Pvt Ltd. ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-dolpo-trekking-tour-2-331041_1515142421.JPG ,, 
Annapurna Circuit Trek ,, 109450 ,, 13days ,, 5.0  ,, Private Tour   ,, Medium ,, Outshine Adventure Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-12840_1545368844.JPG ,, 
Everest High Passes Trekking ,, 166100 ,, 20days ,, 5.0  ,, Private Tour   ,, Hard ,, Breakfree Adventures Pvt Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-high-passes-trekking-tour-2-23750_1510029029.JPG ,, 
Makalu Base Camp ,, 206800 ,, 15days ,, nan ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/makalu-base-camp-tour-2-1035_0.JPG ,, 
Dhaulagiri Circuit Trek ,, 363000 ,, 20days ,, nan ,, Private Tour   ,, Very Hard ,, Nepal Eco Adventure Pvt Ltd ,, Dhaulagiri Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/dhaulagiri-circuit-trek-tour-2-331_1545793488.JPG ,, 
Lobuche East Peak Climbing ,, 192500 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Lobuche East Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/lobuche-east-peak-climbing-tour-2-327_1510029029.JPG ,, 
Annapurna In Style ,, 291500 ,, 10days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-in-style-tour-2-335104_0.JPG ,, 
Gokyo And Everest Base Camp ,, 196900 ,, 17days ,, 5.0  ,, Private Tour   ,, Hard ,, Trek Nepal Intl PVT.LTD ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-and-everest-base-camp-tour-2-763_0.JPG ,, 
Upper Mustang Trekking ,, 198000 ,, 17days ,, nan ,, Private Tour   ,, Medium ,, Breakfree Adventures Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trekking-tour-2-23720_1510029029.JPG ,, 
Everest Base Camp - Chola Pass- Gokyo Trek ,, 135300 ,, 15days ,, nan ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-chola-pass-gokyo-trek-tour-2-639_1523889282.JPG ,, 
Makalu Base Camp Trek ,, 253000 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Outshine Adventure Pvt Ltd ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/makalu-base-camp-trek-tour-2-647_1520566306.JPG ,, 
Kanchenjunga Circuit Trek ,, 242000 ,, 23days ,, nan ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kanchenjunga-circuit-trek-tour-2-18870_1536491636.JPG ,, 
Ghorepani Poonhill Trek ,, 46200 ,, 8days ,, nan ,, Private Tour   ,, Easy ,, Glorious Himalaya Trekking Pvt Ltd. ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poonhill-trek-tour-2-270062_1543231125.JPG ,, 
Short Trek In Kathmandu Valley ,, 45100 ,, 5days ,, nan ,, Private Tour   ,, Easy ,, Adventure Connexion Pvt Ltd ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/short-trek-in-kathmandu-valley-tour-2-11040_0.JPG ,, 
Himalaya Langtang Trek 8D/7N ,, 48840 ,, 8days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/himalaya-langtang-trek-8d-7n-tour-2-379197_1521157166.JPG ,, 
GHT - Nepal - The Full Traverse ,, 2934250 ,, 150days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ght-nepal-the-full-traverse-tour-2-429621_1528335863.JPG ,, 
Journey To Mount Kailash ,, 480590 ,, 20days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/journey-to-mount-kailash-tour-2-430134_1528360471.JPG ,, 
Manaslu Circuit Trek 14 Days ,, 107250 ,, 14days ,, 5.0  ,, Private Tour   ,, Medium ,, Nepal Lion Tours and Treks Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trek-14-days-tour-2-357900_1542438952.JPG ,, 
Everest Three High Passes Trek ,, 159500 ,, 17days ,, nan ,, Private Tour   ,, Hard ,, Glorious Himalaya Trekking Pvt Ltd. ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-three-high-passes-trek-tour-2-310518_1543308629.JPG ,, 
Local Living Nepal ,, 46970 ,, 7days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/local-living-nepal-tour-2-450490_1537437065.JPG ,, 
Rara Lake Trek ,, 151800 ,, 12days ,, nan ,, Private Tour   ,, Easy ,, Unique Adventure International Pvt Ltd ,, Rara Lake ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/rara-lake-trek-tour-2-19705_1543208703.JPG ,, 
Makalu Base Camp Trekking ,, 198000 ,, 17days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/makalu-base-camp-trekking-tour-2-340_1510029029.JPG ,, 
Kathmandu To Mumbai Overland ,, 255200 ,, 31days ,, 5.0  ,, Group Tour - Max 21 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-to-mumbai-overland-tour-2-354336_0.JPG ,, 
Langtang Valley Trek ,, 66000 ,, 10days ,, 5.0  ,, Private Tour   ,, Moderate ,, Ace the Himalaya ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trek-tour-2-263_1513069575.JPG ,, 
Gokyo And Everest Base Camp ,, 142450 ,, 15days ,, 4.5  ,, Private and Group Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-and-everest-base-camp-tour-2-408590_1538805676.JPG ,, 
Langtang Tamang Heritage Trail Trekking ,, 54450 ,, 8days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Tamang Heritage Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-tamang-heritage-trail-trekking-tour-2-17372_1536301351.JPG ,, 
Annapurna Circuit - Private Trip ,, 119900 ,, 14days ,, nan ,, Private Tour   ,, Medium ,, Exciting Nepal Treks and Expedition ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-private-trip-tour-2-614_1514084587.JPG ,, 
Annapurna Foothills Trek 3D/2N ,, 33330 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Pokhara Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-foothills-trek-3d-2n-tour-2-362529_1520220783.JPG ,, 
Annapurna & Everest In Style ,, 625900 ,, 18days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-and-everest-in-style-tour-2-335116_0.JPG ,, 
Yala Peak Climbing ,, 170500 ,, 11days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Yala Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/yala-peak-climbing-tour-2-435859_1530083680.JPG ,, 
Tibetan Highlight: Lhasa Everest Base Camp Tour ,, 195800 ,, 8days ,, 5.0  ,, Group Tour - Max 15 participants   ,, Easy ,, Unique Adventure International Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Adventure ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/tibetan-highlight-lhasa-everest-base-camp-tour-tour-2-258012_1530765342.JPG ,, 
Tsum Valley Trek ,, 109890 ,, 14days ,, nan ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Manaslu-Tsum Valley ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/tsum-valley-trek-tour-2-458494_1545386828.JPG ,, 
One-hour Mountain Flight Over Everest ,, 25300 ,, 1hours ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Green Valley Nepal Treks Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/one-hour-mountain-flight-over-everest-tour-2-21944_1513930151.JPG ,, 
Delhi To Kathmandu Adventure ,, 142010 ,, 15days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/delhi-to-kathmandu-adventure-tour-2-462742_1548242625.JPG ,, 
Delhi To Kathmandu On A Shoestring ,, 96360 ,, 15days ,, nan ,, Group Tour - Max 18 participants   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/delhi-to-kathmandu-on-a-shoestring-tour-2-326559_0.JPG ,, 
Everest Base Camp Trek ,, 138050 ,, 14days ,, nan ,, Private and Group Tour   ,, Easy ,, Nepal Guide Treks & Expedition ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-433684_1547107767.JPG ,, 
Upper Dolpo Trek ,, 302500 ,, 20days ,, nan ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-dolpo-trek-tour-2-11984_0.JPG ,, 
Chitwan National Park Adventure 3D/2N ,, 22880 ,, 3days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Chitwan National Park Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chitwan-national-park-adventure-3d-2n-tour-2-369276_1521179559.JPG ,, 
Chitwan National Park Adventure 3D/2N (from Kathmandu) ,, 28160 ,, 3days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chitwan-national-park-adventure-3d-2n-from-kathmandu-tour-2-369289_1520167024.JPG ,, 
Everest In Style ,, 354200 ,, 9days ,, nan ,, Group Tour - Max 12 participants   ,, Easy ,, Peregrine Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-in-style-tour-2-335158_0.JPG ,, 
Two Peak Climbing ,, 340120 ,, 20 days ,, nan ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Mera Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/two-peak-climbing-tour-2-407366_1547108621.JPG ,, 
Scenic Mount Everest Helicopter Tour ,, 148500 ,, 4hours ,, 4.7  ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Everest Region ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, https://i.ytimg.com/vi/fMYymRKoLmg/0.jpg ,, 
Everest Gokyo Lake 11 Days ,, 104500 ,, 11days ,, nan ,, Private Tour   ,, Medium ,, Nepal Lion Tours and Treks Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-gokyo-lake-11-days-tour-2-97464_1536304279.JPG ,, 
Kanchenjunga Trek ,, 324500 ,, 23days ,, nan ,, Private Tour   ,, Medium ,, Trek Nepal Intl PVT.LTD ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kanchenjunga-trek-tour-2-796_0.JPG ,, 
Annapurna Poon Hill Trek 5D/4N ,, 45870 ,, 5days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Pokhara Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-poon-hill-trek-5d-4n-tour-2-362542_1520220927.JPG ,, 
Annapurna Circuit Trek 16D/15N (From Kathmandu) ,, 64240 ,, 15days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-16d-15n-from-kathmandu-tour-2-362518_1521173433.JPG ,, 
Poonhill Trek ,, 60500 ,, 7days ,, nan ,, Private Tour   ,, Easy ,, Trek Nepal Intl PVT.LTD ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/poonhill-trek-tour-2-779_1540188654.JPG ,, 
Langtang Valley Trek ,, 93500 ,, 11days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trek-tour-2-410897_1536300268.JPG ,, 
Highlights Of India & Nepal ,, 274450 ,, 19days ,, 4.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/highlights-of-india-and-nepal-tour-2-354517_0.JPG ,, 
