Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, 
Gokyo Renjo La Pass Trek ,, 121000 ,, 12days ,, 4.8  ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Ghorepani-Poonhill-Ghandruk Trek ,, 55000 ,, 7days ,, 4.8  ,, Private and Group Tour   ,, Moderate ,, Nepal Eco Adventure Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna View Trek ,, 50050 ,, 6days ,, 5.0  ,, Private Tour   ,, Easy ,, Mount Adventure Holidays ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
12 Days Gokyo Valley Trekking ,, 120890 ,, 12 days ,, 4.8  ,, Group Tour - Max 12 participants   ,, Moderate ,, Trekking Planner (P.) Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Mardi Himal Trek ,, 48950 ,, 10days ,, 4.7  ,, Private Tour   ,, Moderate ,, Himalayan Leisure Inc. ,, Mardi Himal Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Circuit Trek ,, 148500 ,, 19days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Nepal Guide Treks & Expedition ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Poonhill Tea House Trek 7-Days ,, 49500 ,, 7days ,, 4.8  ,, Private Tour   ,, Easy ,, Nepal Lion Tours and Treks Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Ghorepani Poon Hill Trek ,, 46200 ,, 5days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Trek With Chopper Return ,, 185900 ,, 5days ,, 5.0  ,, Private Tour   ,, Moderate ,, Unique Adventure International Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp With Gokyo Valley Trek ,, 159500 ,, 21days ,, 5.0  ,, Private Tour   ,, Hard ,, Buddha Treks and Expedition ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Panorama Trek ,, 86900 ,, 7days ,, 4.8  ,, Private Tour   ,, Moderate ,, Himalayan Leisure Inc. ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Island Peak Climbing + Everest 3 High Passes Trek ,, 235400 ,, 21days ,, 5.0  ,, Private Tour   ,, Medium ,, Friends Adventure Team Pvt. Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Panorama Trek  ,, 99000 ,, 9days ,, 5.0  ,, Private Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Shangri-La Tour Of Tibet ,, 82500 ,, 8days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, Unique Adventure International Pvt Ltd ,, Lhasa ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, 
Island Peak Climbing Trek  ,, 204050 ,, 15days ,, 4.8  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Annapurna Base Camp Short Trek ,, 53900 ,, 7days ,, 5.0  ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Upper Mustang Trek ,, 170500 ,, 14days ,, 4.5  ,, Private and Group Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Delhi To Kathmandu ,, 174350 ,, 15days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest View Trek ,, 108900 ,, 7days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Easy ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Ghandruk Loop Trek From Pokhara ,, 27500 ,, 3days ,, 4.0  ,, Private Tour   ,, Moderate ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo Valley Trek ,, 115500 ,, 10days ,, 4.7  ,, Private Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek ,, 142010 ,, 15days ,, 4.8  ,, Group Tour - Max 15 participants   ,, Easy ,, G Adventures ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Mardi Himal Trek ,, 79200 ,, 6days ,, 4.2  ,, Private Tour   ,, Moderate ,, Unique Adventure International Pvt Ltd ,, Mardi Himal Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kanchenjunga Circuit Trek ,, 248050 ,, 21days ,, 5.0  ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek ,, 115500 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 74250 ,, 10days ,, 4.8  ,, Private Tour   ,, Moderate ,, Outshine Adventure Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek  ,, 121000 ,, 12days ,, 4.9  ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
