Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, 
Rock & Raft Nepal ,, 9350 ,, 2days ,, nan ,, Private Tour   ,, nan ,, GRG Adventure Kayaking ,, Trisuli River ,, Adventure And Sport Activities ,, Canyoning ,, 
Annapurna Base Camp Landing By Helicopter ,, 52250 ,, 2hours ,, 5.0  ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Annapurna Base Camp Trek ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, 
Nagarjun Day Hike ,, 6600 ,, 1days ,, nan ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Nagarjun ,, Adventure And Sport Activities ,, Trekking ,, 
Kathmandu Day Tour ,, 14300 ,, 12hours ,, nan ,, Private Tour   ,, nan ,, Eyes On Nepal Tours & Treks Pvt.Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, 
Vintage Nepal ,, 341220 ,, 12days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest Base Camp High Flyer ,, 480590 ,, 14days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Mera & Island Peak Via Amphu Labsta ,, 538120 ,, 30days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Climbing ,, 
Ama Dablam Base Camp Trek ,, 229790 ,, 14days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Trek Annapurna And Everest ,, 302940 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Day Tour Of Kathmandu Valley ,, 9350 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, City sightseeing ,, 
Gokyo Lake Trekking ,, 138600 ,, 15days ,, nan ,, Private Tour   ,, Medium ,, Breakfree Adventures Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Helicopter Tour ,, 143000 ,, 4hours ,, 5.0  ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Everest Region ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, 
Nagarjun Hill Day Hike ,, 7700 ,, 1days ,, nan ,, Private Tour   ,, Easy ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Classic Nepal ,, 254320 ,, 11days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
1-day Kathmandu Valley Exploration ,, 12760 ,, 1days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, Unique Adventure International Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Canyoning Day Trip ,, 9350 ,, 1days ,, nan ,, Private Tour   ,, nan ,, GRG Adventure Kayaking ,, Kathmandu ,, Adventure And Sport Activities ,, Canyoning ,, 
Everest Base Camp Helicopter Tour ,, 146300 ,, 4hours ,, 5.0  ,, Private Tour   ,, nan ,, Master Himalaya Treks and Expedition Pvt Ltd ,, Everest Region ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, 
Langtang & Gosainkund Lakes Trek ,, 219340 ,, 17days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Exploring Patan And Bhaktapur: Kathmandu Valley’s Other Kingdoms ,, 10670 ,, 6-7hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Tours ,, Culture History and Heritage Tours ,, 
Walking Tour Of Kathmandu ,, 2750 ,, 6hours ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Walking tours ,, 
Shivapuri Loop Bike Tour  ,, 9350 ,, 7hours ,, nan ,, Private Tour   ,, nan ,, Mount Adventure Holidays ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, 
Everest Base Camp Helicopter Tour ,, 165000 ,, 4hours ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Everest Region ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, 
Mountain Biking Adventures On The Outskirts Of Kathmandu ,, 11000 ,, 4-5hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Bicycle tours ,, 
Tibet Uncovered ,, 554400 ,, 15days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest Flight ,, 24200 ,, 1hours ,, 4.5  ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Mountain flights ,, 
Spiritual Journey Of Nepal ,, 6380 ,, 4-5hours ,, 4.6  ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Tours ,, Culture History and Heritage Tours ,, 
Explore Kathmandu Like A Local ,, 7260 ,, 5-6hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Food tours ,, 
Gokyo Lake  ,, 140800 ,, 11days ,, nan ,, Private Tour   ,, Medium ,, Mosaic Adventure ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Wonders Of Southern Nepal By Bicycle ,, 289960 ,, 11days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, SpiceRoads ,, Kathmandu ,, Adventure And Sport Activities ,, Bicycle tours ,, 
The Druk Path Trek - 12 Days ,, 449900 ,, 12days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, On The Go Tours ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Annapurna Nar & Tilicho Lake ,, 334290 ,, 22days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Everest High Passes ,, 340670 ,, 22days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
GHT Everest & Rolwaling Traverse Via Tashi Labsta Pass ,, 459690 ,, 28days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Lobuche East & Pokalde Peak ,, 552750 ,, 28days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Kangchenjunga Base Camp ,, 462880 ,, 25days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
The Kingdom Of Mustang ,, 396990 ,, 16days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Circuit & Base Camp Trek ,, 302940 ,, 20days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo & The Renjo La ,, 271590 ,, 17days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Tamang Heritage Trail ,, 187990 ,, 12days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Mountain Bike Kathmandu To Pokhara ,, 235070 ,, 11days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, SpiceRoads ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, 
Gokyo Trek ,, 122650 ,, 11days ,, nan ,, Private Tour   ,, Moderate ,, Exciting Nepal Treks and Expedition ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
India & Nepal Heritage  ,, 680350 ,, 23days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
In Focus: Tailor-made In Kathmandu Sarangi Experience ,, 7260 ,, 4hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Tours ,, Culture History and Heritage Tours ,, 
Make Your Own Souvenir  ,, 7260 ,, 4hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Tours ,, Culture History and Heritage Tours ,, 
Cycling In Bhutan ,, 741950 ,, 14days ,, 5.0  ,, Group Tour - Max 15 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Bicycle tours ,, 
Durbar Square & Monkey Temple ,, 11440 ,, 1day ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
East Himalayan Kingdoms ,, 423720 ,, 13days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
Everest Kangshung Face ,, 522390 ,, 24days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Valley View Trekking ,, 49500 ,, 7days ,, 4.9  ,, Private and Group Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
India & Nepal ,, 514800 ,, 19days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Kathmandu To Delhi Overland ,, 206800 ,, 24days ,, nan ,, Group Tour - Max 22 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Sikkim Bhutan Trek ,, 527670 ,, 20days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Summit To Sea ,, 480590 ,, 29days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Nepali Meal With Local Family ,, 3190 ,, 1day ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest Base Camp & Kala Pattar ,, 261140 ,, 17days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 119900 ,, 11days ,, nan ,, Private Tour   ,, Moderate ,, Himalayan Glacier Trekking ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Trekking Langtang ,, 108570 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, G Adventures ,, Langtang Trek ,, Explorer ,, Explorer ,, 
Upper Mustang Trek ,, 218900 ,, 14days ,, nan ,, Private Tour   ,, Medium ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kathmandu To Delhi Adventure ,, 142010 ,, 15days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Langtang & Gosainkund Lakes ,, 204050 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Walking tours ,, 
Everest Base Camp Trek 13D/12N ,, 130570 ,, 13days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Jomsom Trek 12D/11N (from Kathmandu) ,, 83490 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Nepal Rafting Adventure (from Kathmandu) ,, 7370 ,, 1day ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Poon Hill Trek 3D/2N ,, 33110 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Pokhara Tours ,, Explorer ,, Explorer ,, 
Poon Hill Trek 5D/4N (from Kathmandu) ,, 47960 ,, 5days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest & Gokyo Lakes - 18 Days ,, 292050 ,, 18days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, On The Go Tours ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest Base Camp - 15 Days ,, 260700 ,, 15days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, On The Go Tours ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Annapurna Sanctuary Trek - 14 Days ,, 250250 ,, 14days ,, nan ,, Group Tour - Max 14 participants   ,, nan ,, On The Go Tours ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Cholo Expedition ,, 483780 ,, 21days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Chitwan ,, 198440 ,, 12days ,, nan ,, Group Tour - Max 16 participants   ,, Easy ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Machapuchare ,, 198440 ,, 13days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Tharpu Chuli (Tent Peak) Expedition ,, 420090 ,, 18days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Climbing ,, 
Annapurna Mountain Bike ,, 290510 ,, 16days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, 
Annapurna Circuit ,, 250690 ,, 17days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Ultimate Annapurna Dhaulagiri ,, 249700 ,, 16days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Trek ,, 177540 ,, 10days ,, nan ,, Group Tour - Max 16 participants   ,, Easy ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Complete Annapurna ,, 271590 ,, 18days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Damodar Saribung Traverse ,, 449240 ,, 23days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp & Island Peak ,, 473330 ,, 22days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Family Trek ,, 247610 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Trek ,, 208890 ,, 12days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Around Dhaulagiri Via French Pass ,, 334290 ,, 18days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
GHT Kanchenjunga Exploratory ,, 522390 ,, 25days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
GHT Langtang Via Tilman Pass ,, 313390 ,, 18days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
GHT Manaslu & Annapurna ,, 459690 ,, 26days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Great Himalaya Trail ,, Adventure And Sport Activities ,, Trekking ,, 
GHT Makalu & Everest Traverse Via Sherpani Col ,, 626890 ,, 34days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
GHT Rara Lake & Yari Valley ,, 585090 ,, 26days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
GHT Upper Dolpo Traverse ,, 626890 ,, 25days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Classic Poon Hill Trek ,, 187990 ,, 12days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Nepal Family Adventure ,, 187990 ,, 12days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Nepal - Raft And Hike ,, 229790 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
4x4 Tibet Overland Adventure 8D/7N ,, 156640 ,, 8days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Real Kathmandu To Delhi ,, 121000 ,, 13days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
Epic Nepal To India ,, 184800 ,, 20days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
Real Everest Base Camp ,, 141130 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
One Week In Nepal ,, 69300 ,, 8days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
Abode Of The God-Kings ,, 356290 ,, 15days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu Tours ,, Active And Outdoor ,, Active and outdoor ,, 
Classic Nepal ,, 177320 ,, 15days ,, nan ,, Group Tour - Max 14 participants   ,, nan ,, Encounters Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Nepal Exposed ,, 125290 ,, 10days ,, nan ,, Group Tour - Max 14 participants   ,, nan ,, Encounters Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest Base Camp ,, 162910 ,, 16days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Encounters Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Delhi To Kathmandu ,, 352110 ,, 16days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Encounters Travel ,, Delhi Tours ,, Explorer ,, Explorer ,, 
Nepal On A Shoestring ,, 80740 ,, 8days ,, nan ,, Group Tour - Max 18 participants   ,, nan ,, Encounters Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Nepal Family Adventure ,, 250690 ,, 14days ,, nan ,, Group Tour - Max 18 participants   ,, nan ,, Encounters Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Nepal Discovery ,, 132660 ,, 8days ,, nan ,, Group Tour - Max 18 participants   ,, nan ,, Encounters Travel ,, Cairo Tours ,, Explorer ,, Explorer ,, 
Himalayan Kingdoms ,, 306680 ,, 12days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Encounters Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Lumding Valley & Teng Kangpoche Peak With Soren Kruse Ledet ,, 877690 ,, 30days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Climbing ,, 
Chitwan Independent Adventure And Homestay ,, 76230 ,, 4days ,, nan ,, Independent Tour   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Wellness Nepal ,, 344740 ,, 13days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Annapurna Circuit ,, 245520 ,, 21days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu Tours ,, Active And Outdoor ,, Active and outdoor ,, 
Cinque Terre Walking Holiday ,, 56320 ,, 5days ,, nan ,, Independent Tour   ,, nan ,, FindYourItaly SRL ,, Liguria Tours ,, Explorer ,, Explorer ,, 
Kathmandu Valley Trek Independent Adventure ,, 99220 ,, 5days ,, nan ,, Independent Tour   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Nepal Adventure ,, 178750 ,, 4days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Trafalgar ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Magnificent Nepal And Bhutan ,, 717750 ,, 10days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Luxury Gold ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Magnificent Nepal And Bhutan ,, 717750 ,, 10days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Insight Vacations ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Indias Golden Triangle With Varanasi And Nepal ,, 461450 ,, 11days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Trafalgar ,, Delhi Tours ,, Explorer ,, Explorer ,, 
Annapurna Sanctuary ,, 174460 ,, 15days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu Tours ,, Active And Outdoor ,, Active and outdoor ,, 
Inside The Hidden Kingdoms ,, 482790 ,, 21days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kolkata Tours ,, Active And Outdoor ,, Active and outdoor ,, 
Festivals Of Bhutan ,, 446160 ,, 12days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu Tours ,, Active And Outdoor ,, Active and outdoor ,, 
Delhi To Kathmandu ,, 280060 ,, 17days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Delhi Tours ,, Active And Outdoor ,, Active and outdoor ,, 
Discover Nepal ,, 199540 ,, 15days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu Tours ,, Active And Outdoor ,, Active and outdoor ,, 
Annapurna Panorama ,, 178640 ,, 13days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu Tours ,, Active And Outdoor ,, Active and outdoor ,, 
Everest Base Camp & Kala Pattar Over 55's ,, 313390 ,, 21days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Tamur Rafting And Trek Expedition ,, 132000 ,, 11hours ,, nan ,, Group Tour - Max 24 participants   ,, nan ,, GRG Adventure Kayaking ,, Tamur River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, 
